poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
李白,行路难·其一,唐,744,744,disputed,3,长安,西安市,陕西省,108.95,34.27,古诗文网《行路难·其一》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_870828ca8aaa.aspx,创作背景原文：公元742年（天宝元年）李白奉诏入京担任翰林供奉，却没被唐玄宗重用，还受到权臣的谗毁排挤，两年后被“赐金放还”变相撵出长安；被逼出京时朋友们都来饯行，求仕无望的他深感仕路艰难，满怀愤慨写下此篇《行路难》——即天宝三载（744年）赐金放还离京时作。系年有两说：一说天宝三载（744年）离开长安时作（古诗文网创作背景持此说）；一说开元年间一入长安困顿时作（cnkgraph开放API即将组诗其二“大道如青天”系于731年长安、其三“有耳莫洗颍川水”系于744年长安，其一未见单独系年）；故记disputed，主展示取744年说。2026-07-26在线核实。,B,candidate
李白,梦游天姥吟留别,唐,745,746,approximate,4,东鲁（兖州瑕丘）,济宁市,山东省,116.75,35.57,古诗文网《梦游天姥吟留别》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_05e2f6fc757c.aspx,古诗文网创作背景：“此诗作于李白出翰林之后，其作年一说公元745年（天宝四载），一说公元746年（天宝五载）……大约作于李白即将离开东鲁南游吴越之时”；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26361）系于746年、创作地兖州瑕丘（CN370812，今济宁市兖州区），题注“一作《别东鲁诸公》”，年谱谓“将去鲁适越，别友人，有诗”；745与746两说相近，取745-746区间；“安能摧眉折腰事权贵”即出此诗,B,candidate
李白,闻王昌龄左迁龙标遥有此寄,唐,748,753,disputed,4,扬州一带（一说金陵）,扬州市,江苏省,119.42,32.39,古诗文网《闻王昌龄左迁龙标遥有此寄》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_62280919c9c5.aspx,系年748-753之间有多说：古诗文网创作背景：“此诗一说约作于唐玄宗天宝八载（749），一说约作于唐玄宗天宝十二载（753）……李白在扬州听到王昌龄被贬的不幸遭遇以后，写了这一首充满同情和关切的诗篇”；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/25632）系于749年春、创作地江宁（CN3201，金陵），年谱谓“还金陵，闻王昌龄远谪黔中，作诗寄之”，并注郁贤皓主张约作于天宝七载（748年，《李太白全集校注》第1611页）；取748-753区间记disputed，地点主展示取工作假设扬州说、cnkgraph金陵说并存,B,candidate
李白,北风行,唐,752,752,approximate,4,幽州（范阳郡）,北京市,北京市,116.41,39.9,古诗文网《北风行》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_6cbb08b97493.aspx,古诗文网创作背景：“此诗作于唐玄宗天宝十一载（752年）秋天（一说冬天），当时李白游幽州（今北京、天津与辽宁朝阳一带）”，并引王琦注谓拟鲍照《北风行》而作；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26037）题作“杂曲歌辞 北风行”，系于752年、创作地大兴范阳（CN110115），年谱谓“在幽州，识边地战争之真相，情绪怨愤，有诗”，时李白北游幽州目睹安禄山备乱；两源一致,B,candidate
李白,独坐敬亭山,唐,753,753,disputed,4,宣城敬亭山,宣城市,安徽省,118.76,30.95,古诗文网《独坐敬亭山》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_1da5349ad9e4.aspx,系年有争议：一说天宝十二载（753年）李白游宣城时作（詹锳《李白诗文系年》），cnkgraph开放API（https://open.cnkgraph.com/api/Writing/25603）亦系于753年、创作地宣城（CN3418），年谱谓“在宣城，常登敬亭山独坐，意甚寂寞，有诗”；一说作于上元二年（761年）晚年，古诗文网创作背景称原稿未注年份、753年只是后人推测、“作于761年的可能性更大”；两说并存记disputed，主展示取工作假设753说,B,candidate
李白,秋浦歌十七首·十五,唐,754,754,approximate,4,秋浦（池州）,池州市,安徽省,117.5,30.67,古诗文网《秋浦歌十七首·十五》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_7c874581d6f3.aspx,“白发三千丈”一首，古诗文网题作《秋浦歌十七首·十五》，创作背景：“这十七首诗大约作于天宝十三载（公元754年）第二次游秋浦时期（另说为天宝十二载，又说为天宝十四载）”；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26249，组诗《秋浦歌十七首》条目）系于754年、创作地池州秋浦（CN3417），其年谱754年条下列其十五（白发三千丈）并注郁贤皓主张作于天宝十四载（755年）秋游秋浦时（《李太白全集校注》第900页）；主流754年说与753/755说并存，主展示取754,B,candidate
李白,赠汪伦,唐,755,755,approximate,4,泾县桃花潭,宣城市泾县,安徽省,118.43,30.69,古诗文网《赠汪伦》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_ca9eaf40a6ce.aspx,古诗文网创作背景：此诗约作于“唐玄宗天宝十四载（755年）李白自秋浦往游泾县（今属安徽）桃花潭时”，村人汪伦常酝美酒款待李白，临别踏歌相送；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/25679）系于755年、创作地泾县桃花潭（CN341823），年谱谓“在泾县，有诗赠别汪伦”；两源一致,B,candidate
李白,永王东巡歌·其一,唐,757,757,exact,5,永王军中（浔阳至丹阳）,九江市,江西省,115.99,29.71,古诗文网《永王东巡歌十一首》创作背景,https://m.gushiwen.cn/shiwenv_f3449f1400aa.aspx,创作背景原文：此组诗当作于唐肃宗至德二载（757）正月。当时李白随永王李璘水师东下寻阳（即浔阳）。此诗宋本题下注云“永王军中”，这组《永王东巡歌》即在永王幕府中所作。入永王幕为其后流放夜郎之祸根。2026-07-26在线核实。,B,candidate
李白,流夜郎赠辛判官,唐,758,758,approximate,5,流放夜郎途中（江夏一带）,武汉市,湖北省,114.31,30.6,古诗文网《流夜郎赠辛判官》创作背景,https://m.gushiwen.cn/shiwenv_7607b9e3f4d5.aspx,创作背景原文：这首诗写于乾元元年（758年），李白在这年春天终因参加永王李璘幕府事而获罪，被流放到夜郎（今贵州省桐梓县一带），此诗大概是诗人刚被流放时所作；辛判官可能是李白供奉翰林时的朋友。背景未言具体作地，“江夏一带”为年谱推定的流放途中地点；“昔在长安醉花柳”今昔对照。2026-07-26在线核实。,B,candidate
李白,上三峡,唐,759,759,approximate,5,三峡（瞿塘峡至黄牛峡一带）,重庆市巫山县,重庆市,109.88,31.07,古诗文网《上三峡》创作背景,https://m.gushiwen.cn/shiwenv_b2c5b44439f1.aspx,创作背景原文：此诗是李白在唐肃宗乾元二年（759年）二月流放夜郎途经三峡时创作的，时年59岁，自九江溯流而上入峡，三峡险峻行程更慢，妻子宗氏与妻弟已告别回南昌，情绪更坏；“三朝上黄牛，三暮行太迟”。2026-07-26在线核实。,B,candidate
李白,与夏十二登岳阳楼,唐,759,759,approximate,5,岳阳楼,岳阳市,湖南省,113.13,29.37,古诗文网《与夏十二登岳阳楼》创作背景,https://m.gushiwen.cn/shiwenv_974b75de0457.aspx,创作背景原文：此诗当是唐肃宗乾元二年（公元759年）秋李白遇赦由江夏南游洞庭时登岳阳楼而作。流放夜郎中途遇赦后之作。2026-07-26在线核实。,B,candidate
李白,宿五松山下荀媪家,唐,761,761,approximate,5,五松山,铜陵市,安徽省,117.81,30.95,古诗文网《宿五松山下荀媪家》创作背景（引詹锳《李白诗文系年》）,https://m.gushiwen.cn/shiwenv_df9a5470cc0b.aspx,创作背景原文（节引）：诗题下原注“宣州”；詹锳《李白诗文系年》将此诗系于唐肃宗上元二年（761年），当时李白往来于宣城、历阳之间；五松山在安徽铜陵县南。暮年困顿，借宿农家受款待，“令人惭漂母”。2026-07-26在线核实。,B,candidate
李白,临终歌,唐,762,762,exact,5,当涂,马鞍山市当涂县,安徽省,118.51,31.69,古诗文网《临终歌》创作背景（引裴斐《李白年谱简编》）,https://m.gushiwen.cn/shiwenv_a75fa0bc8b7d.aspx,创作背景原文：根据裴斐《李白年谱简编》，此诗作于唐代宗宝应元年（762年）即李白去世当年，为绝笔；据李华《故翰林学士李君墓铭序》“年六十有二不偶，赋临终歌而卒”，“临路歌”之“路”当为“终”形近之误，一作《临终歌》（古诗文网即题作临终歌）。“大鹏飞兮振八裔，中天摧兮力不济”。2026-07-26在线核实。,B,candidate
